SEQN,question_code,response,question_type
73557,ACD011A,1.0,Acculturation
73558,ACD011A,1.0,Acculturation
73559,ACD011A,1.0,Acculturation
73560,ACD011A,1.0,Acculturation
73561,ACD011A,1.0,Acculturation
73562,ACD011A,,Acculturation
73563,ACD011A,,Acculturation
73564,ACD011A,1.0,Acculturation
73565,ACD011A,,Acculturation
73566,ACD011A,1.0,Acculturation
73567,ACD011A,1.0,Acculturation
73568,ACD011A,1.0,Acculturation
73569,ACD011A,,Acculturation
73570,ACD011A,1.0,Acculturation
73571,ACD011A,1.0,Acculturation
73572,ACD011A,1.0,Acculturation
73573,ACD011A,1.0,Acculturation
73574,ACD011A,,Acculturation
73575,ACD011A,,Acculturation
73576,ACD011A,1.0,Acculturation
73577,ACD011A,,Acculturation
73578,ACD011A,,Acculturation
73579,ACD011A,1.0,Acculturation
73580,ACD011A,1.0,Acculturation
73581,ACD011A,,Acculturation
73582,ACD011A,1.0,Acculturation
73583,ACD011A,1.0,Acculturation
73584,ACD011A,1.0,Acculturation
73585,ACD011A,,Acculturation
73586,ACD011A,,Acculturation
73587,ACD011A,,Acculturation
73588,ACD011A,1.0,Acculturation
73589,ACD011A,1.0,Acculturation
73590,ACD011A,,Acculturation
73591,ACD011A,1.0,Acculturation
73592,ACD011A,,Acculturation
73593,ACD011A,1.0,Acculturation
73594,ACD011A,,Acculturation
73595,ACD011A,,Acculturation
73596,ACD011A,,Acculturation
73597,ACD011A,1.0,Acculturation
73598,ACD011A,,Acculturation
73599,ACD011A,1.0,Acculturation
73600,ACD011A,1.0,Acculturation
73601,ACD011A,,Acculturation
73602,ACD011A,,Acculturation
73603,ACD011A,,Acculturation
73604,ACD011A,1.0,Acculturation
73605,ACD011A,1.0,Acculturation
73606,ACD011A,1.0,Acculturation
73607,ACD011A,1.0,Acculturation
73608,ACD011A,,Acculturation
73609,ACD011A,,Acculturation
73610,ACD011A,1.0,Acculturation
73611,ACD011A,,Acculturation
73612,ACD011A,,Acculturation
73613,ACD011A,1.0,Acculturation
73614,ACD011A,1.0,Acculturation
73615,ACD011A,,Acculturation
73616,ACD011A,1.0,Acculturation
73617,ACD011A,,Acculturation
73618,ACD011A,1.0,Acculturation
73619,ACD011A,,Acculturation
73620,ACD011A,1.0,Acculturation
73621,ACD011A,1.0,Acculturation
73622,ACD011A,1.0,Acculturation
73623,ACD011A,1.0,Acculturation
73624,ACD011A,1.0,Acculturation
73625,ACD011A,,Acculturation
73626,ACD011A,1.0,Acculturation
73627,ACD011A,,Acculturation
73628,ACD011A,1.0,Acculturation
73629,ACD011A,1.0,Acculturation
73630,ACD011A,,Acculturation
73631,ACD011A,1.0,Acculturation
73632,ACD011A,,Acculturation
73633,ACD011A,1.0,Acculturation
73634,ACD011A,1.0,Acculturation
73635,ACD011A,,Acculturation
73636,ACD011A,,Acculturation
73637,ACD011A,,Acculturation
73638,ACD011A,1.0,Acculturation
73639,ACD011A,1.0,Acculturation
73640,ACD011A,1.0,Acculturation
73641,ACD011A,1.0,Acculturation
73642,ACD011A,1.0,Acculturation
73643,ACD011A,,Acculturation
73644,ACD011A,1.0,Acculturation
73645,ACD011A,1.0,Acculturation
73646,ACD011A,,Acculturation
73647,ACD011A,,Acculturation
73648,ACD011A,1.0,Acculturation
73649,ACD011A,1.0,Acculturation
73650,ACD011A,1.0,Acculturation
73651,ACD011A,1.0,Acculturation
73652,ACD011A,1.0,Acculturation
73653,ACD011A,1.0,Acculturation
73654,ACD011A,,Acculturation
73655,ACD011A,1.0,Acculturation
73656,ACD011A,1.0,Acculturation
73657,ACD011A,,Acculturation
73658,ACD011A,,Acculturation
73659,ACD011A,1.0,Acculturation
73660,ACD011A,,Acculturation
73661,ACD011A,1.0,Acculturation
73662,ACD011A,1.0,Acculturation
