SEQN,question_code,response,question_type
73557,CBD070,300.0,Consumer Behavior
73558,CBD070,642.0,Consumer Behavior
73559,CBD070,150.0,Consumer Behavior
73560,CBD070,400.0,Consumer Behavior
73561,CBD070,200.0,Consumer Behavior
73562,CBD070,150.0,Consumer Behavior
73563,CBD070,642.0,Consumer Behavior
73564,CBD070,400.0,Consumer Behavior
73565,CBD070,900.0,Consumer Behavior
73566,CBD070,1000.0,Consumer Behavior
73567,CBD070,125.0,Consumer Behavior
73568,CBD070,662.0,Consumer Behavior
73569,CBD070,1000.0,Consumer Behavior
73570,CBD070,400.0,Consumer Behavior
73571,CBD070,240.0,Consumer Behavior
73572,CBD070,200.0,Consumer Behavior
73573,CBD070,300.0,Consumer Behavior
73574,CBD070,500.0,Consumer Behavior
73575,CBD070,100.0,Consumer Behavior
73576,CBD070,1000.0,Consumer Behavior
73577,CBD070,500.0,Consumer Behavior
73578,CBD070,900.0,Consumer Behavior
73579,CBD070,300.0,Consumer Behavior
73580,CBD070,300.0,Consumer Behavior
73581,CBD070,500.0,Consumer Behavior
73582,CBD070,126.0,Consumer Behavior
73583,CBD070,600.0,Consumer Behavior
73584,CBD070,600.0,Consumer Behavior
73585,CBD070,642.0,Consumer Behavior
73586,CBD070,400.0,Consumer Behavior
73587,CBD070,1000.0,Consumer Behavior
73588,CBD070,500.0,Consumer Behavior
73589,CBD070,300.0,Consumer Behavior
73590,CBD070,350.0,Consumer Behavior
73591,CBD070,1000.0,Consumer Behavior
73592,CBD070,200.0,Consumer Behavior
73593,CBD070,857.0,Consumer Behavior
73594,CBD070,400.0,Consumer Behavior
73595,CBD070,400.0,Consumer Behavior
73596,CBD070,300.0,Consumer Behavior
73597,CBD070,999999.0,Consumer Behavior
73598,CBD070,,Consumer Behavior
73599,CBD070,150.0,Consumer Behavior
73600,CBD070,642.0,Consumer Behavior
73601,CBD070,400.0,Consumer Behavior
73602,CBD070,,Consumer Behavior
73603,CBD070,600.0,Consumer Behavior
73604,CBD070,428.0,Consumer Behavior
73605,CBD070,800.0,Consumer Behavior
73606,CBD070,1000.0,Consumer Behavior
73607,CBD070,200.0,Consumer Behavior
73608,CBD070,771.0,Consumer Behavior
73609,CBD070,600.0,Consumer Behavior
73610,CBD070,600.0,Consumer Behavior
73611,CBD070,400.0,Consumer Behavior
73612,CBD070,1178.0,Consumer Behavior
73613,CBD070,600.0,Consumer Behavior
73614,CBD070,800.0,Consumer Behavior
73615,CBD070,0.0,Consumer Behavior
73616,CBD070,342.0,Consumer Behavior
73617,CBD070,600.0,Consumer Behavior
73618,CBD070,800.0,Consumer Behavior
73619,CBD070,0.0,Consumer Behavior
73620,CBD070,500.0,Consumer Behavior
73621,CBD070,400.0,Consumer Behavior
73622,CBD070,700.0,Consumer Behavior
73623,CBD070,535.0,Consumer Behavior
73624,CBD070,700.0,Consumer Behavior
73625,CBD070,642.0,Consumer Behavior
73626,CBD070,400.0,Consumer Behavior
73627,CBD070,85.0,Consumer Behavior
73628,CBD070,250.0,Consumer Behavior
73629,CBD070,400.0,Consumer Behavior
73630,CBD070,300.0,Consumer Behavior
73631,CBD070,135.0,Consumer Behavior
73632,CBD070,240.0,Consumer Behavior
73633,CBD070,250.0,Consumer Behavior
73634,CBD070,450.0,Consumer Behavior
73635,CBD070,100.0,Consumer Behavior
73636,CBD070,500.0,Consumer Behavior
73637,CBD070,300.0,Consumer Behavior
73638,CBD070,214.0,Consumer Behavior
73639,CBD070,500.0,Consumer Behavior
73640,CBD070,150.0,Consumer Behavior
73641,CBD070,123.0,Consumer Behavior
73642,CBD070,300.0,Consumer Behavior
73643,CBD070,500.0,Consumer Behavior
73644,CBD070,985.0,Consumer Behavior
73645,CBD070,750.0,Consumer Behavior
73646,CBD070,550.0,Consumer Behavior
73647,CBD070,535.0,Consumer Behavior
73648,CBD070,600.0,Consumer Behavior
73649,CBD070,500.0,Consumer Behavior
73650,CBD070,400.0,Consumer Behavior
73651,CBD070,100.0,Consumer Behavior
73652,CBD070,200.0,Consumer Behavior
73653,CBD070,640.0,Consumer Behavior
73654,CBD070,777777.0,Consumer Behavior
73655,CBD070,300.0,Consumer Behavior
73656,CBD070,800.0,Consumer Behavior
73657,CBD070,400.0,Consumer Behavior
73658,CBD070,200.0,Consumer Behavior
73659,CBD070,350.0,Consumer Behavior
73660,CBD070,1000.0,Consumer Behavior
73661,CBD070,250.0,Consumer Behavior
73662,CBD070,200.0,Consumer Behavior
73663,CBD070,500.0,Consumer Behavior
73664,CBD070,500.0,Consumer Behavior
73665,CBD070,300.0,Consumer Behavior
73666,CBD070,400.0,Consumer Behavior
73667,CBD070,300.0,Consumer Behavior
73668,CBD070,500.0,Consumer Behavior
73669,CBD070,400.0,Consumer Behavior
73670,CBD070,150.0,Consumer Behavior
73671,CBD070,30.0,Consumer Behavior
73672,CBD070,342.0,Consumer Behavior
73673,CBD070,1200.0,Consumer Behavior
73674,CBD070,600.0,Consumer Behavior
73675,CBD070,300.0,Consumer Behavior
73676,CBD070,857.0,Consumer Behavior
73677,CBD070,342.0,Consumer Behavior
73678,CBD070,300.0,Consumer Behavior
73679,CBD070,600.0,Consumer Behavior
73680,CBD070,600.0,Consumer Behavior
73681,CBD070,500.0,Consumer Behavior
73682,CBD070,300.0,Consumer Behavior
73683,CBD070,857.0,Consumer Behavior
73684,CBD070,600.0,Consumer Behavior
73685,CBD070,400.0,Consumer Behavior
73686,CBD070,500.0,Consumer Behavior
73687,CBD070,100.0,Consumer Behavior
73688,CBD070,500.0,Consumer Behavior
73689,CBD070,300.0,Consumer Behavior
73690,CBD070,125.0,Consumer Behavior
73691,CBD070,300.0,Consumer Behavior
73692,CBD070,535.0,Consumer Behavior
73693,CBD070,187.0,Consumer Behavior
73694,CBD070,150.0,Consumer Behavior
73695,CBD070,400.0,Consumer Behavior
73696,CBD070,428.0,Consumer Behavior
73697,CBD070,857.0,Consumer Behavior
73698,CBD070,350.0,Consumer Behavior
73699,CBD070,,Consumer Behavior
73700,CBD070,1000.0,Consumer Behavior
73701,CBD070,1000.0,Consumer Behavior
73702,CBD070,964.0,Consumer Behavior
73703,CBD070,857.0,Consumer Behavior
73704,CBD070,1200.0,Consumer Behavior
73705,CBD070,1200.0,Consumer Behavior
73706,CBD070,1285.0,Consumer Behavior
73707,CBD070,150.0,Consumer Behavior
73708,CBD070,300.0,Consumer Behavior
73709,CBD070,400.0,Consumer Behavior
73710,CBD070,700.0,Consumer Behavior
73711,CBD070,1100.0,Consumer Behavior
73712,CBD070,700.0,Consumer Behavior
73713,CBD070,350.0,Consumer Behavior
73714,CBD070,500.0,Consumer Behavior
73715,CBD070,600.0,Consumer Behavior
73716,CBD070,200.0,Consumer Behavior
73717,CBD070,250.0,Consumer Behavior
73718,CBD070,300.0,Consumer Behavior
73719,CBD070,1500.0,Consumer Behavior
73720,CBD070,300.0,Consumer Behavior
73721,CBD070,428.0,Consumer Behavior
73722,CBD070,125.0,Consumer Behavior
73723,CBD070,150.0,Consumer Behavior
73724,CBD070,,Consumer Behavior
73725,CBD070,350.0,Consumer Behavior
73726,CBD070,500.0,Consumer Behavior
73727,CBD070,431.0,Consumer Behavior
73728,CBD070,1178.0,Consumer Behavior
73729,CBD070,400.0,Consumer Behavior
73730,CBD070,500.0,Consumer Behavior
73731,CBD070,700.0,Consumer Behavior
73732,CBD070,857.0,Consumer Behavior
73733,CBD070,514.0,Consumer Behavior
73734,CBD070,999999.0,Consumer Behavior
73735,CBD070,1285.0,Consumer Behavior
73736,CBD070,350.0,Consumer Behavior
73737,CBD070,400.0,Consumer Behavior
73738,CBD070,0.0,Consumer Behavior
73739,CBD070,400.0,Consumer Behavior
73740,CBD070,1285.0,Consumer Behavior
73741,CBD070,514.0,Consumer Behavior
73742,CBD070,300.0,Consumer Behavior
73743,CBD070,300.0,Consumer Behavior
73744,CBD070,1000.0,Consumer Behavior
73745,CBD070,350.0,Consumer Behavior
73746,CBD070,642.0,Consumer Behavior
73747,CBD070,300.0,Consumer Behavior
73748,CBD070,1500.0,Consumer Behavior
73749,CBD070,500.0,Consumer Behavior
73750,CBD070,350.0,Consumer Behavior
73751,CBD070,300.0,Consumer Behavior
73752,CBD070,857.0,Consumer Behavior
73753,CBD070,200.0,Consumer Behavior
73754,CBD070,550.0,Consumer Behavior
73755,CBD070,180.0,Consumer Behavior
73756,CBD070,400.0,Consumer Behavior
73757,CBD070,514.0,Consumer Behavior
73758,CBD070,0.0,Consumer Behavior
73759,CBD070,500.0,Consumer Behavior
73760,CBD070,0.0,Consumer Behavior
73761,CBD070,857.0,Consumer Behavior
73762,CBD070,600.0,Consumer Behavior
73763,CBD070,1500.0,Consumer Behavior
73764,CBD070,1000.0,Consumer Behavior
73765,CBD070,557.0,Consumer Behavior
73766,CBD070,200.0,Consumer Behavior
73767,CBD070,600.0,Consumer Behavior
73768,CBD070,857.0,Consumer Behavior
73769,CBD070,777777.0,Consumer Behavior
73770,CBD070,300.0,Consumer Behavior
73771,CBD070,400.0,Consumer Behavior
73772,CBD070,700.0,Consumer Behavior
73773,CBD070,500.0,Consumer Behavior
73774,CBD070,200.0,Consumer Behavior
73775,CBD070,425.0,Consumer Behavior
73776,CBD070,642.0,Consumer Behavior
73777,CBD070,200.0,Consumer Behavior
73778,CBD070,0.0,Consumer Behavior
73779,CBD070,150.0,Consumer Behavior
73780,CBD070,200.0,Consumer Behavior
73781,CBD070,642.0,Consumer Behavior
73782,CBD070,85.0,Consumer Behavior
73783,CBD070,500.0,Consumer Behavior
73784,CBD070,0.0,Consumer Behavior
73785,CBD070,642.0,Consumer Behavior
73786,CBD070,443.0,Consumer Behavior
73787,CBD070,600.0,Consumer Behavior
73788,CBD070,1285.0,Consumer Behavior
73789,CBD070,300.0,Consumer Behavior
73790,CBD070,280.0,Consumer Behavior
73791,CBD070,850.0,Consumer Behavior
73792,CBD070,250.0,Consumer Behavior
73793,CBD070,100.0,Consumer Behavior
73794,CBD070,800.0,Consumer Behavior
73795,CBD070,320.0,Consumer Behavior
73796,CBD070,400.0,Consumer Behavior
73797,CBD070,777777.0,Consumer Behavior
73798,CBD070,642.0,Consumer Behavior
