SEQN,question_code,response,question_type
73557,HOD050,4.0,Housing Characteristics
73558,HOD050,7.0,Housing Characteristics
73559,HOD050,6.0,Housing Characteristics
73560,HOD050,5.0,Housing Characteristics
73561,HOD050,8.0,Housing Characteristics
73562,HOD050,6.0,Housing Characteristics
73563,HOD050,11.0,Housing Characteristics
73564,HOD050,6.0,Housing Characteristics
73565,HOD050,8.0,Housing Characteristics
73566,HOD050,5.0,Housing Characteristics
73567,HOD050,4.0,Housing Characteristics
73568,HOD050,7.0,Housing Characteristics
73569,HOD050,777.0,Housing Characteristics
73570,HOD050,6.0,Housing Characteristics
73571,HOD050,9.0,Housing Characteristics
73572,HOD050,5.0,Housing Characteristics
73573,HOD050,7.0,Housing Characteristics
73574,HOD050,5.0,Housing Characteristics
73575,HOD050,4.0,Housing Characteristics
73576,HOD050,9.0,Housing Characteristics
73577,HOD050,4.0,Housing Characteristics
73578,HOD050,4.0,Housing Characteristics
73579,HOD050,8.0,Housing Characteristics
73580,HOD050,6.0,Housing Characteristics
73581,HOD050,8.0,Housing Characteristics
73582,HOD050,3.0,Housing Characteristics
73583,HOD050,13.0,Housing Characteristics
73584,HOD050,6.0,Housing Characteristics
73585,HOD050,7.0,Housing Characteristics
73586,HOD050,4.0,Housing Characteristics
73587,HOD050,10.0,Housing Characteristics
73588,HOD050,5.0,Housing Characteristics
73589,HOD050,3.0,Housing Characteristics
73590,HOD050,4.0,Housing Characteristics
73591,HOD050,7.0,Housing Characteristics
73592,HOD050,6.0,Housing Characteristics
73593,HOD050,7.0,Housing Characteristics
73594,HOD050,5.0,Housing Characteristics
73595,HOD050,5.0,Housing Characteristics
73596,HOD050,7.0,Housing Characteristics
73597,HOD050,8.0,Housing Characteristics
73598,HOD050,,Housing Characteristics
73599,HOD050,4.0,Housing Characteristics
73600,HOD050,5.0,Housing Characteristics
73601,HOD050,5.0,Housing Characteristics
73602,HOD050,,Housing Characteristics
73603,HOD050,4.0,Housing Characteristics
73604,HOD050,5.0,Housing Characteristics
73605,HOD050,10.0,Housing Characteristics
73606,HOD050,6.0,Housing Characteristics
73607,HOD050,6.0,Housing Characteristics
73608,HOD050,4.0,Housing Characteristics
73609,HOD050,4.0,Housing Characteristics
73610,HOD050,11.0,Housing Characteristics
73611,HOD050,5.0,Housing Characteristics
73612,HOD050,5.0,Housing Characteristics
73613,HOD050,6.0,Housing Characteristics
73614,HOD050,6.0,Housing Characteristics
73615,HOD050,1.0,Housing Characteristics
73616,HOD050,9.0,Housing Characteristics
73617,HOD050,5.0,Housing Characteristics
73618,HOD050,6.0,Housing Characteristics
73619,HOD050,6.0,Housing Characteristics
73620,HOD050,9.0,Housing Characteristics
73621,HOD050,8.0,Housing Characteristics
73622,HOD050,8.0,Housing Characteristics
73623,HOD050,7.0,Housing Characteristics
73624,HOD050,6.0,Housing Characteristics
73625,HOD050,4.0,Housing Characteristics
73626,HOD050,7.0,Housing Characteristics
73627,HOD050,8.0,Housing Characteristics
73628,HOD050,7.0,Housing Characteristics
73629,HOD050,10.0,Housing Characteristics
73630,HOD050,12.0,Housing Characteristics
73631,HOD050,3.0,Housing Characteristics
73632,HOD050,2.0,Housing Characteristics
73633,HOD050,9.0,Housing Characteristics
73634,HOD050,5.0,Housing Characteristics
73635,HOD050,5.0,Housing Characteristics
73636,HOD050,6.0,Housing Characteristics
73637,HOD050,11.0,Housing Characteristics
73638,HOD050,7.0,Housing Characteristics
73639,HOD050,6.0,Housing Characteristics
73640,HOD050,7.0,Housing Characteristics
73641,HOD050,5.0,Housing Characteristics
73642,HOD050,6.0,Housing Characteristics
73643,HOD050,4.0,Housing Characteristics
73644,HOD050,8.0,Housing Characteristics
73645,HOD050,7.0,Housing Characteristics
73646,HOD050,7.0,Housing Characteristics
73647,HOD050,5.0,Housing Characteristics
73648,HOD050,5.0,Housing Characteristics
73649,HOD050,5.0,Housing Characteristics
73650,HOD050,6.0,Housing Characteristics
73651,HOD050,6.0,Housing Characteristics
73652,HOD050,4.0,Housing Characteristics
73653,HOD050,4.0,Housing Characteristics
73654,HOD050,777.0,Housing Characteristics
73655,HOD050,7.0,Housing Characteristics
73656,HOD050,10.0,Housing Characteristics
73657,HOD050,6.0,Housing Characteristics
73658,HOD050,4.0,Housing Characteristics
73659,HOD050,6.0,Housing Characteristics
73660,HOD050,7.0,Housing Characteristics
73661,HOD050,4.0,Housing Characteristics
73662,HOD050,3.0,Housing Characteristics
73663,HOD050,5.0,Housing Characteristics
73664,HOD050,4.0,Housing Characteristics
73665,HOD050,2.0,Housing Characteristics
73666,HOD050,4.0,Housing Characteristics
73667,HOD050,6.0,Housing Characteristics
73668,HOD050,8.0,Housing Characteristics
73669,HOD050,4.0,Housing Characteristics
73670,HOD050,5.0,Housing Characteristics
73671,HOD050,4.0,Housing Characteristics
73672,HOD050,8.0,Housing Characteristics
73673,HOD050,5.0,Housing Characteristics
73674,HOD050,7.0,Housing Characteristics
73675,HOD050,4.0,Housing Characteristics
73676,HOD050,8.0,Housing Characteristics
73677,HOD050,7.0,Housing Characteristics
73678,HOD050,6.0,Housing Characteristics
73679,HOD050,5.0,Housing Characteristics
73680,HOD050,7.0,Housing Characteristics
73681,HOD050,5.0,Housing Characteristics
73682,HOD050,5.0,Housing Characteristics
73683,HOD050,5.0,Housing Characteristics
73684,HOD050,13.0,Housing Characteristics
73685,HOD050,5.0,Housing Characteristics
73686,HOD050,5.0,Housing Characteristics
73687,HOD050,8.0,Housing Characteristics
73688,HOD050,6.0,Housing Characteristics
73689,HOD050,6.0,Housing Characteristics
73690,HOD050,8.0,Housing Characteristics
73691,HOD050,7.0,Housing Characteristics
73692,HOD050,3.0,Housing Characteristics
73693,HOD050,6.0,Housing Characteristics
73694,HOD050,6.0,Housing Characteristics
73695,HOD050,6.0,Housing Characteristics
73696,HOD050,4.0,Housing Characteristics
73697,HOD050,5.0,Housing Characteristics
73698,HOD050,4.0,Housing Characteristics
73699,HOD050,,Housing Characteristics
73700,HOD050,4.0,Housing Characteristics
73701,HOD050,5.0,Housing Characteristics
73702,HOD050,8.0,Housing Characteristics
73703,HOD050,4.0,Housing Characteristics
73704,HOD050,9.0,Housing Characteristics
73705,HOD050,5.0,Housing Characteristics
73706,HOD050,7.0,Housing Characteristics
73707,HOD050,3.0,Housing Characteristics
73708,HOD050,8.0,Housing Characteristics
73709,HOD050,5.0,Housing Characteristics
73710,HOD050,6.0,Housing Characteristics
73711,HOD050,5.0,Housing Characteristics
73712,HOD050,6.0,Housing Characteristics
73713,HOD050,7.0,Housing Characteristics
73714,HOD050,7.0,Housing Characteristics
73715,HOD050,6.0,Housing Characteristics
