SEQN,question_code,response,question_type
73557,INQ020,2.0,Income
73558,INQ020,1.0,Income
73559,INQ020,2.0,Income
73560,INQ020,1.0,Income
73561,INQ020,2.0,Income
73562,INQ020,1.0,Income
73563,INQ020,1.0,Income
73564,INQ020,1.0,Income
73565,INQ020,1.0,Income
73566,INQ020,1.0,Income
73567,INQ020,2.0,Income
73568,INQ020,1.0,Income
73569,INQ020,1.0,Income
73570,INQ020,1.0,Income
73571,INQ020,2.0,Income
73572,INQ020,1.0,Income
73573,INQ020,1.0,Income
73574,INQ020,1.0,Income
73575,INQ020,1.0,Income
73576,INQ020,1.0,Income
73577,INQ020,1.0,Income
73578,INQ020,1.0,Income
73579,INQ020,1.0,Income
73580,INQ020,1.0,Income
73581,INQ020,1.0,Income
73582,INQ020,1.0,Income
73583,INQ020,1.0,Income
73584,INQ020,1.0,Income
73585,INQ020,1.0,Income
73586,INQ020,1.0,Income
73587,INQ020,1.0,Income
73588,INQ020,1.0,Income
73589,INQ020,1.0,Income
73590,INQ020,1.0,Income
73591,INQ020,1.0,Income
73592,INQ020,1.0,Income
73593,INQ020,1.0,Income
73594,INQ020,1.0,Income
73595,INQ020,1.0,Income
73596,INQ020,1.0,Income
73597,INQ020,2.0,Income
73598,INQ020,,Income
73599,INQ020,1.0,Income
73600,INQ020,1.0,Income
73601,INQ020,1.0,Income
73602,INQ020,,Income
73603,INQ020,1.0,Income
73604,INQ020,2.0,Income
73605,INQ020,1.0,Income
73606,INQ020,1.0,Income
73607,INQ020,2.0,Income
73608,INQ020,1.0,Income
73609,INQ020,1.0,Income
73610,INQ020,1.0,Income
73611,INQ020,1.0,Income
73612,INQ020,1.0,Income
73613,INQ020,1.0,Income
73614,INQ020,2.0,Income
73615,INQ020,2.0,Income
73616,INQ020,1.0,Income
73617,INQ020,1.0,Income
73618,INQ020,1.0,Income
73619,INQ020,1.0,Income
73620,INQ020,1.0,Income
73621,INQ020,2.0,Income
73622,INQ020,2.0,Income
73623,INQ020,1.0,Income
73624,INQ020,2.0,Income
73625,INQ020,1.0,Income
73626,INQ020,2.0,Income
73627,INQ020,1.0,Income
73628,INQ020,2.0,Income
73629,INQ020,1.0,Income
73630,INQ020,1.0,Income
73631,INQ020,1.0,Income
73632,INQ020,1.0,Income
73633,INQ020,1.0,Income
73634,INQ020,1.0,Income
73635,INQ020,1.0,Income
73636,INQ020,1.0,Income
73637,INQ020,1.0,Income
73638,INQ020,2.0,Income
73639,INQ020,1.0,Income
73640,INQ020,2.0,Income
73641,INQ020,2.0,Income
73642,INQ020,1.0,Income
73643,INQ020,2.0,Income
73644,INQ020,2.0,Income
73645,INQ020,1.0,Income
73646,INQ020,1.0,Income
73647,INQ020,1.0,Income
73648,INQ020,1.0,Income
73649,INQ020,1.0,Income
73650,INQ020,1.0,Income
73651,INQ020,1.0,Income
73652,INQ020,1.0,Income
73653,INQ020,1.0,Income
73654,INQ020,7.0,Income
73655,INQ020,1.0,Income
73656,INQ020,1.0,Income
73657,INQ020,1.0,Income
73658,INQ020,1.0,Income
73659,INQ020,2.0,Income
73660,INQ020,1.0,Income
73661,INQ020,1.0,Income
73662,INQ020,2.0,Income
73663,INQ020,1.0,Income
73664,INQ020,1.0,Income
73665,INQ020,1.0,Income
73666,INQ020,2.0,Income
73667,INQ020,2.0,Income
73668,INQ020,1.0,Income
73669,INQ020,1.0,Income
73670,INQ020,2.0,Income
73671,INQ020,2.0,Income
73672,INQ020,2.0,Income
73673,INQ020,1.0,Income
73674,INQ020,1.0,Income
73675,INQ020,1.0,Income
73676,INQ020,1.0,Income
73677,INQ020,1.0,Income
73678,INQ020,1.0,Income
73679,INQ020,1.0,Income
73680,INQ020,1.0,Income
73681,INQ020,1.0,Income
73682,INQ020,2.0,Income
73683,INQ020,1.0,Income
73684,INQ020,1.0,Income
73685,INQ020,1.0,Income
73686,INQ020,1.0,Income
73687,INQ020,2.0,Income
73688,INQ020,1.0,Income
73689,INQ020,1.0,Income
73690,INQ020,2.0,Income
73691,INQ020,1.0,Income
73692,INQ020,1.0,Income
