SEQN,question_code,response,question_type
73557,OCD150,4.0,Occupation
73558,OCD150,1.0,Occupation
73559,OCD150,4.0,Occupation
73560,OCD150,,Occupation
73561,OCD150,4.0,Occupation
73562,OCD150,1.0,Occupation
73563,OCD150,,Occupation
73564,OCD150,4.0,Occupation
73565,OCD150,1.0,Occupation
73566,OCD150,1.0,Occupation
73567,OCD150,1.0,Occupation
73568,OCD150,1.0,Occupation
73569,OCD150,,Occupation
73570,OCD150,,Occupation
73571,OCD150,4.0,Occupation
73572,OCD150,,Occupation
73573,OCD150,,Occupation
73574,OCD150,4.0,Occupation
73575,OCD150,,Occupation
73576,OCD150,4.0,Occupation
73577,OCD150,1.0,Occupation
73578,OCD150,4.0,Occupation
73579,OCD150,,Occupation
73580,OCD150,1.0,Occupation
73581,OCD150,1.0,Occupation
73582,OCD150,1.0,Occupation
73583,OCD150,,Occupation
73584,OCD150,,Occupation
73585,OCD150,1.0,Occupation
73586,OCD150,,Occupation
73587,OCD150,,Occupation
73588,OCD150,,Occupation
73589,OCD150,1.0,Occupation
73590,OCD150,,Occupation
73591,OCD150,,Occupation
73592,OCD150,1.0,Occupation
73593,OCD150,,Occupation
73594,OCD150,3.0,Occupation
73595,OCD150,1.0,Occupation
73596,OCD150,2.0,Occupation
73597,OCD150,4.0,Occupation
73598,OCD150,4.0,Occupation
73599,OCD150,,Occupation
73600,OCD150,1.0,Occupation
73601,OCD150,,Occupation
73602,OCD150,,Occupation
73603,OCD150,1.0,Occupation
73604,OCD150,4.0,Occupation
73605,OCD150,,Occupation
73606,OCD150,3.0,Occupation
73607,OCD150,4.0,Occupation
73608,OCD150,,Occupation
73609,OCD150,,Occupation
73610,OCD150,4.0,Occupation
73611,OCD150,,Occupation
73612,OCD150,,Occupation
73613,OCD150,1.0,Occupation
73614,OCD150,4.0,Occupation
73615,OCD150,4.0,Occupation
73616,OCD150,1.0,Occupation
73617,OCD150,,Occupation
73618,OCD150,1.0,Occupation
73619,OCD150,1.0,Occupation
73620,OCD150,,Occupation
73621,OCD150,4.0,Occupation
73622,OCD150,4.0,Occupation
73623,OCD150,1.0,Occupation
73624,OCD150,4.0,Occupation
73625,OCD150,,Occupation
73626,OCD150,4.0,Occupation
73627,OCD150,,Occupation
